plot_id,burned,longitude,latitude,sample_date,ecozone,elevation,aspect,slope,moisture,moisture_cond_3,burn_date_julian,comp_burn_index,fire_id,dominance,stand_age,stand_age_cond,origin,density,principlecomp_analysis_abundance,unknown_pct,blackspruce_pct,jackpine_pct,tamarack_pct,paperbirch_pct,trembling_aspen_pct,greenalder_pct,willow_pct,whitespruce_pct,balsamfir_pct,balsampoplar_pct,conifer_pct,deciduous_pct,shrub_pct,unknown_abundance,blackspruce_abundance,jackpine_abundance,tamarack_abundance,paperbirch_abundance,trembling_aspen_abundance,greenalder_abundance,willow_abundance,whitespruce_abundance,balsamfir_abundance,balsampoplar_abundance,total_abundance,adventitious_roots,prefire_soil_depth,prefire_soil_depth_se,postfire_soil_depth,postfire_soil_depth_se,soil_burn_depth,soil_burn_depth_se,bg_prefire_c,bg_prefire_c_se,bg_postfire_c,bg_postfire_c_se,bg_combusted_c,bg_combusted_c_se,tree_prefire_biomass,tree_postfire_biomass,tree_combusted_biomass,tree_prefire_c,tree_postfire_c,tree_combusted_c,cwd_prefire_c,cwd_postfire_c,cwd_combusted_c,ag_prefire_c,ag_prefire_sd,ag_postfire_c,ag_combusted_c,ag_combusted_c_sd,total_prefire_c,total_prefire_c_se,total_postfire_c,total_combusted_c,total_combusted_c_se
BR001C,0,-105.1542366,55.29404422,2016-05-30,Shield,374,-9999,0,Mesic,Mesic,-9999,-9999,NA,Coniferous,84,Mature,Harvest,0.48,-0.781324769,0.00,96.55,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,96.55,3.45,0.00,0,28,0,0,0,1,0,0,0,0,0,29,Y,26.85,2.27,-9999,-9999,-9999,-9999,3.43,0.30,-9999,-9999,-9999,-9999,17104.80,-9999,-9999,8.55,-9999,-9999,0.81,-9999,-9999,9.36,0.58,-9999,-9999,-9999,12.79,0.65,-9999,-9999,-9999
BR002C,0,-104.8793093,55.45910748,2016-06-02,Shield,448,38,5.85,Subxeric,Xeric,-9999,-9999,NA,Deciduous,10,Young,Fire,5.93,8.345011348,0.00,0.00,15.17,0.00,44.38,2.25,21.07,17.13,0.00,0.00,0.00,15.17,46.63,38.20,0,0,54,0,158,8,75,61,0,0,0,356,N,8.35,1.24,-9999,-9999,-9999,-9999,2.35,0.72,-9999,-9999,-9999,-9999,2412.42,-9999,-9999,1.21,-9999,-9999,2.70,-9999,-9999,3.90,0.62,-9999,-9999,-9999,6.25,0.95,-9999,-9999,-9999
BR003C,0,-104.8809583,55.45767137,2016-06-02,Shield,444,265,2.25,Xeric,Xeric,-9999,-9999,NA,Coniferous,10,Young,Fire,6.15,5.196124198,0.00,0.00,66.40,0.00,16.80,2.17,6.78,7.86,0.00,0.00,0.00,66.40,18.97,14.63,0,0,245,0,62,8,25,29,0,0,0,369,N,5.10,0.71,-9999,-9999,-9999,-9999,1.35,0.30,-9999,-9999,-9999,-9999,1460.35,-9999,-9999,0.73,-9999,-9999,2.86,-9999,-9999,3.59,0.62,-9999,-9999,-9999,4.94,0.69,-9999,-9999,-9999
BR004C,0,-105.8253991,55.07019305,2016-06-03,Plains,381,-9999,0,Subhygric,Subhygric,-9999,-9999,NA,Coniferous,125,Mature,Fire,2.98,-0.803899074,0.00,89.39,0.00,0.00,0.00,0.00,5.59,5.03,0.00,0.00,0.00,89.39,0.00,10.61,0,160,0,0,0,0,10,9,0,0,0,179,Y,41.50,2.13,-9999,-9999,-9999,-9999,12.05,0.89,-9999,-9999,-9999,-9999,9489.33,-9999,-9999,4.74,-9999,-9999,0.08,-9999,-9999,4.83,0.31,-9999,-9999,-9999,16.87,0.95,-9999,-9999,-9999
BR005C,0,-105.8559996,55.25597772,2016-06-03,Plains,395,0,3.15,Subxeric to mesic,Mesic,-9999,-9999,NA,Deciduous,107,Mature,Harvest,0.35,-0.429145115,0.00,28.57,14.29,0.00,0.00,0.00,57.14,0.00,0.00,0.00,0.00,42.86,0.00,57.14,0,6,3,0,0,0,12,0,0,0,0,21,Y,15.32,1.90,-9999,-9999,-9999,-9999,1.22,0.20,-9999,-9999,-9999,-9999,9381.25,-9999,-9999,4.69,-9999,-9999,2.46,-9999,-9999,7.15,0.62,-9999,-9999,-9999,8.37,0.65,-9999,-9999,-9999
BR006C,0,-105.8435198,54.33226491,2016-06-12,Plains,537,240,4.5,Subxeric,Xeric,-9999,-9999,NA,Deciduous,4,Young,Harvest,3.20,-0.400482377,0.00,0.00,3.13,0.00,1.56,92.19,0.00,0.00,3.13,0.00,0.00,6.25,93.75,0.00,0,0,2,0,1,59,0,0,2,0,0,64,Y,12.78,1.52,-9999,-9999,-9999,-9999,2.53,0.84,-9999,-9999,-9999,-9999,484.94,-9999,-9999,0.24,-9999,-9999,1.93,-9999,-9999,2.18,0.42,-9999,-9999,-9999,4.71,0.93,-9999,-9999,-9999
BR007C,0,-105.8382912,54.33090588,2016-06-11,Plains,540,180,0.9,Subxeric,Xeric,-9999,-9999,NA,Deciduous,4,Young,Harvest,2.40,-0.496903583,0.00,0.00,0.00,0.00,0.00,95.83,4.17,0.00,0.00,0.00,0.00,0.00,95.83,4.17,0,0,0,0,0,46,2,0,0,0,0,48,N,9.25,1.60,-9999,-9999,-9999,-9999,3.22,1.41,-9999,-9999,-9999,-9999,774.73,-9999,-9999,0.39,-9999,-9999,1.33,-9999,-9999,1.72,0.29,-9999,-9999,-9999,4.93,1.44,-9999,-9999,-9999
BR008C,0,-105.9816932,54.37964161,2016-06-11,Plains,625,270,1.35,Subxeric,Xeric,-9999,-9999,NA,Mixed,13,Young,Harvest,8.60,3.547811565,0.00,5.23,35.47,0.00,29.07,1.16,5.81,23.26,0.00,0.00,0.00,40.70,30.23,29.07,0,9,61,0,50,2,10,40,0,0,0,172,Y,2.19,0.68,-9999,-9999,-9999,-9999,0.41,-9999,-9999,-9999,-9999,-9999,2658.18,-9999,-9999,1.33,-9999,-9999,0.61,-9999,-9999,1.93,0.16,-9999,-9999,-9999,2.34,-9999,-9999,-9999,-9999
BR009C,0,-106.0241875,54.35741012,2016-06-11,Plains,617,180,2.7,Subxeric,Xeric,-9999,-9999,NA,Coniferous,9,Young,Harvest,4.78,2.648524819,0.00,3.14,87.46,0.00,0.35,2.09,1.74,5.23,0.00,0.00,0.00,90.59,2.44,6.97,0,9,251,0,1,6,5,15,0,0,0,287,N,5.33,1.30,-9999,-9999,-9999,-9999,1.92,1.47,-9999,-9999,-9999,-9999,3270.24,-9999,-9999,1.64,-9999,-9999,1.56,-9999,-9999,3.19,0.35,-9999,-9999,-9999,5.11,1.51,-9999,-9999,-9999
BR010C,0,-105.9604829,54.37734721,2016-06-13,Plains,631,180,0.9,Mesic,Mesic,-9999,-9999,NA,Coniferous,30,Intermediate,Harvest,1.00,0.138556814,0.00,30.00,43.33,0.00,10.00,0.00,1.67,11.67,3.33,0.00,0.00,76.67,10.00,13.33,0,18,26,0,6,0,1,7,2,0,0,60,Y,19.19,1.34,-9999,-9999,-9999,-9999,2.32,1.31,-9999,-9999,-9999,-9999,9530.83,-9999,-9999,4.77,-9999,-9999,1.12,-9999,-9999,5.88,0.40,-9999,-9999,-9999,8.20,1.37,-9999,-9999,-9999
