burned,longitude,latitude,elevation,aspect,slope,moisture,dominance,stand_age,density,principlecomp_analysis_abundance,conifer_pct,deciduous_pct,total_abundance,adventitious_roots,prefire_soil_depth,bg_prefire_c,tree_prefire_biomass,tree_prefire_c,cwd_prefire_c,ag_prefire_c,total_prefire_c
N,-105.154237,55.294044,374,178.98,0,Mesic,Coniferous,84,0.48,-0.781325,96.55,3.45,29,Y,26.85,3.43,17104.8,8.55,0.81,9.36,12.79
N,-105.825399,55.070193,381,178.98,0,Subhygric,Coniferous,125,2.98,-0.803899,89.39,0,179,Y,41.5,12.05,9489.33,4.74,0.08,4.83,16.87
N,-105.856,55.255978,395,0,3.15,'Subxeric to mesic',Deciduous,107,0.35,-0.429145,42.86,0,21,Y,15.32,1.22,9381.25,4.69,2.46,7.15,8.37
N,-105.84352,54.332265,537,240,4.5,Subxeric,Deciduous,4,3.2,-0.400482,6.25,93.75,64,Y,12.78,2.53,484.94,0.24,1.93,2.18,4.71
N,-105.838291,54.330906,540,180,0.9,Subxeric,Deciduous,4,2.4,-0.496904,0,95.83,48,N,9.25,3.22,774.73,0.39,1.33,1.72,4.93
N,-105.960483,54.377347,631,180,0.9,Mesic,Coniferous,30,1,0.138557,76.67,10,60,Y,19.19,2.32,9530.83,4.77,1.12,5.88,8.2
N,-105.888262,54.373608,624,200,1.8,'Subxeric to mesic',Coniferous,31,1.32,0.048179,97.44,2.56,78,Y,8.31,1.71,6347.82,3.17,0.64,3.81,5.52
N,-106.327438,54.420795,619,250,1.8,'Subxeric to mesic',Coniferous,17,1.55,-0.199694,87.1,4.3,93,Y,8.42,2.54,6171.83,3.09,0.51,3.59,6.13
N,-106.009086,54.33186,614,178.98,0,Subhygric,Coniferous,57,1.72,-1.129304,99.03,0,103,Y,29.4,3.89,2926.69,1.46,0,1.46,5.35
N,-106.011156,54.332517,617,220,9,Subxeric,Coniferous,76,0.95,-0.588603,100,0,57,Y,14.35,1.4,14422.5,7.21,0.29,7.5,8.9
N,-106.019218,54.363601,638,178.98,0,'Subxeric to mesic',Coniferous,68,0.72,-0.754729,81.4,16.28,43,Y,14.07,1.71,22770.8,11.39,0.61,12,13.71
N,-105.957655,54.091014,527,0,0,Mesic,Coniferous,13,3.83,4.687116,92.58,4.8,229,Y,19.27,11.27,1729.09,0.86,0.82,1.69,12.96
N,-105.957143,54.091828,531,180,9.9,Xeric,Coniferous,13,1.4,0.592841,98.81,1.19,84,Y,1.72,0.85,4169.58,2.08,2.04,4.13,4.98
N,-104.920468,55.328334,432,340,7.2,'Subxeric to mesic',Coniferous,86,0.18,-0.690516,100,0,11,Y,23.83,5.04,4745.03,2.37,0.97,3.34,8.38
N,-104.693358,55.697851,408,220,6.3,'Subxeric to mesic',Coniferous,137,0.97,-0.947531,100,0,58,Y,25.16,3.88,3525.2,1.76,1.12,2.88,6.76
N,-104.745021,55.641824,360,250,11.7,Subxeric,Coniferous,10,0.58,-0.715044,60,40,35,N,7.15,1.37,64.89,0.03,1.67,1.7,3.07
N,-104.736606,55.634447,364,250,7.2,Subxeric,Coniferous,10,0.58,-0.58255,54.29,45.71,35,N,8.3,1.92,9391.99,4.7,2.01,6.7,8.63
N,-104.881456,55.451442,440,20,6.3,'Subxeric to mesic',Deciduous,50,0.75,0.298071,42.22,57.78,45,Y,14.56,2.98,9836.44,4.92,0.03,4.95,7.93
N,-104.854298,55.465234,422,40,4.5,'Subxeric to mesic',Mixed,10,0.38,-0.424393,47.83,52.17,23,N,12.75,2.78,967.45,0.48,1.6,2.08,4.86
